ID,Category,Aircraft,System,SubSystem,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Reference,Difficulty,Tags,TimesSeen,TimesCorrect,TimesWrong,LastSeen,LastCorrect,UserFlag
104,Type Rating,A330,Autoflight/FMGS,FMGS,"Pilot inadvertently activates the approach phase in cruising, how to reactivate the cruise phase?",Cruise phase cannot be reactivated. One.,Pull the speed knob on FCU. Two.,Let the A/C climb to a higher flight level. Three.,Reselect a cruise flight level into the progress page. 2  05: How many working modes does FMGC have? Four.,D,,,,"fmgs,autoflight",0,0,0,,,
105,Type Rating,A330,Autoflight/FMGS,FMGS,How many working modes does FMGC have?,One.,Two.,Three.,Four.,B,,,,"fmgs,autoflight",0,0,0,,,
106,Type Rating,A330,Autoflight/FMGS,FMGS,"If pilot inserts non-ILS approach in flight plan, and then tunes ILS frequency on the RAD NAV page, what will the MCDU display?",CHECK APPR SELECTION .,RWY -ILS MISMATCH.,CHECK DESTINATION DATA.,None.,B,,,,"fmgs,autoflight",0,0,0,,,
107,Type Rating,A330,Hydraulics,Hydraulic Systems,"In SRS mode, what is the target speed the A/C maintains in one engine inoperative?",V2.,V2+10.,V2+15.,"V2 or current A/C speed, which one is higher (no more than V2+15).",D,,,,hydraulics,0,0,0,,,
108,Type Rating,A330,Limitations/Performance,Limitations,In normal law the auto trim is frozen when:,Dual stick input is made.,The auto trim is never frozen.,When the load factor is higher than 1.3g.,In high speed protection. 3,D,,,,"limitations,performance",0,0,0,,,
109,Type Rating,A330,Electrical,Power Supply,During a rejected takeoff above 72 kts :,"If ground spoilers are armed, they will extend as soon as all thrust levers are set to idle.","If ground spoilers are not armed, they will extend as soon as reverse is selected on at least one engine (remaining engine at idle) .",A and B are correct .,"Ground spoilers will not deploy until reverse is selected on at least one engine, regardless of the position of the speedbrake control lever.",C,,,,electrical,0,0,0,,,
110,Type Rating,A330,Hydraulics,Hydraulic Systems,The hydraulic reservoir pressurization comes from :,HP (High Pressure) bleed air from engine one .,LP (Low Pressure) bleed air from engine one.,"A is correct and in case the bleed air pressure is too low, the system takes it from the crossbleed duct.","B is correct and in case the bleed air pressure is too low, the system takes it from the other engine.",C,,,,hydraulics,0,0,0,,,
111,Type Rating,A330,Communications,Radio,In EMER ELEC CONFIG:,Only RMP 1 is available.,Only RMP 2 is available.,Only RMP 3 is available.,RMP 1 and RMP 2 are available.,A,,,,comms,0,0,0,,,
112,Type Rating,A330,Landing Gear,Gear & NWS,What happens to the various cabin lights in the event of excessive cabin altitude ?,The cabin lights and all the cabin signs (except the NO PORTABLE ELEC DEVICE signs) come on automatically only if the switches are in the AUTO position.,The cabin lights and all the cabin signs (except the NO PORTABLE ELEC DEVICE signs) come on automatically  only if the EMER EXIT switch is in the ARM position. 4  C: The cabin lights and all the cabin signs (except the NO PORTABLE ELEC DEVICE signs) come on automatically only if the landing gear is down.,,The cabin lights and all the cabin signs (except the NO PORTABLE ELEC DEVICE signs) come on automatically regardless of the position of the switches.,A,,,,"landinggear,nws",0,0,0,,,
113,Type Rating,A330,Air Systems,Pressurization,What does an amber RAT indication mean  on the HYD page ?,The RAT is stowed.,The RAT is not stowed and the RPM is below 3000 RPM.,The RAT is pressurizing the right half of the GREEN system.,,B,,,,pressurization,0,0,0,,,
114,Type Rating,A330,Flight Controls,FCS,"In the event of low hydraulic pressure, a priority valve cuts off power to heavy users. They are:","Emergency generator, landing gear and nose wheel steering.","Landing gear, inbound ailerons and rudder.","Nose wheel steering, flaps and slats.","Flaps, slats and landing gear.",D,,,,fcs,0,0,0,,,
115,Type Rating,A330,Communications,Radio,Which SEL indicator comes on in amber when VHF1is tuned BY RMP2?,Only  RMP1.,Only RMP 2.,Both RMP1 and RMP2.,None.,C,,,,comms,0,0,0,,,
116,Type Rating,A330,Flight Controls,FCS,The YELLOW hydraulic system electric pump:,Runs automatically in the event of engine 2 failure if flaps lever is not at cero.,"Runs automatically in the event of any engine failure for 25 seconds, when the landing gear lever is selected up.",Runs automatically in the event of engine 1 failure + PRIM 1 or PRIM 3 failure to ensure sufficient authority on the electrical rudder. 5,,A,,,,fcs,0,0,0,,,
117,Type Rating,A330,Avionics,Displays/Warnings,Will EMER EVAC be activated in cabin when the CAPT and PURS/CAPT sw are in the position of CAPT?,It will be activated only in the cabin.,Will be activated only in the cockpit.,"It will be activated first in the cockpit, then in the cabin.","If one of the cabin EVAC CMD keys is pressed, only the cockpit horn sounds for 3 s .",D,,,,"ecam,avionics",0,0,0,,,
118,Type Rating,A330,Hydraulics,Hydraulic Systems,The RAT automatically extends in flight in case of:,Both engines failure.,GREEN + BLUE LO LVL.,GREEN + YELLOW LO LVL.,All are correct.,D,,,,hydraulics,0,0,0,,,
119,Type Rating,A330,Electrical,Power Supply,"At takeoff (or go around), what is the minimum recommended speed at which the SLATS may be retracted from CONF 1 + F to CONF 0?",Green dot speed.,S speed.,F speed.,Vls speed.,B,,,,electrical,0,0,0,,,
120,Type Rating,A330,Electrical,Power Supply,"During a manual start, what function does the FADEC perform?",The FADEC does not perform any function during a manual start and all actions have to be carry out by the pilots.,To control the start sequence and take corrective action in case of failure or malfunction.,"Passive monitoring of the start sequence, to close the start valve and cut off the ignition on the ground.",The FADEC does not work until idle is reached . 6,C,,,,electrical,0,0,0,,,
121,Type Rating,A330,Fire Protection,Fire/Smoke,"With reference to the engine fire protection system, which statement is correct?",Each engine has single fire bottle which is also connected to the other engine.,Each engine is equipped with two fire bottles.,Both engines have a single fire protection loop.,Engine fire warnings are only shown on the FIRE panel.,B,,,,fire,0,0,0,,,
122,Type Rating,A330,Electrical,Power Supply,The engine ANTI ICE system… :,"When selected ON, causes idle N1 (or idle EPR) to be reduced.",Cannot be operated on ground to prevent damaging the slats.,Operates only in flight and is fully automatic in case of icing conditions.,Is controlled manually by the pilot through the ENGI 1 and ENG 2 anti -ice pb.,D,,,,electrical,0,0,0,,,
123,Type Rating,A330,Electrical,Power Supply,"With the AUDIO SWITCHING knob in the CAPT ON 3 position, the Captain uses his acoustic equipment on ACP 3.",The AUDIO SWITCHING knob must be place in ALTN position .,No ACP 3 available for A330.,TRUE.,The AUDIO SWITCHING knob must be place in STBY position.,C,,,,electrical,0,0,0,,,
124,Type Rating,A330,Hydraulics,Hydraulic Systems,During your preliminary cockpit preparation you notice that the FLAPS lever is in the ZERO position but the E/WD shows the FLAPS extended. What should you do?,Switch ON the YELLOW electric HYD pump and recycle the FLAPS lever.,Do nothing. The FLAPS will move to the position selected as soon as all the engines will be started.,You must move the FLAPS to the position corresponding to the position shown on the E/WD.,You must check with the maintenance crew before applying hydraulic power. 7,D,,,,hydraulics,0,0,0,,,
125,Type Rating,A330,Electrical,Power Supply,"The control surfaces are electrically controlled, but are there any that have a mechanical backup?","Yes, the THS.","Yes, the elevators and rudder.","Yes, the elevators and ailerons.","No, they all required some electrical power.",A,,,,electrical,0,0,0,,,
126,Type Rating,A330,Flight Controls,FCS,"In Normal Law, if one side stick is rapidly pulled fully back, can the aircraft’s maximum allowable “G” load be exceeded?","No. At maximum “G” load, the side sticks are de -activated for 5 seconds.",Yes. Until maximum pitch attitude is reached the alpha floor protection is active.,Yes. Rapid side stick deflection must never be made.,No. The load factor protection overrides side stick commands to avoid excessive “G” loads.,D,,,,fcs,0,0,0,,,
127,Type Rating,A330,Electrical,Power Supply,If both pilots deflect simultaneously their side sticks fully back…,The “pitch up” order is 1.5 times higher than with only one stick deflected.,The “pitch up” order is equal to a single stick deflection.,No inputs are sent to the flight control computers unless one pilot presses the take over pb on his stick.,The “pitch up” order is twice as high as with only one stick deflected.,B,,,,electrical,0,0,0,,,
128,Type Rating,A330,Landing Gear,Gear & NWS,What does the NWS DISC memo on the E/WD indicate?,There is a discrepancy between the two nose wheel steering hand wheel positions.,A failure in the nose wheel steering system has been detected.,The nose wheel steering has been disconnected by ground personnel.,The nose wheel steering computer has finished its self -test. Nose wheel steering is now available. 8,B,,,,"landinggear,nws",0,0,0,,,
129,Type Rating,A330,Avionics,Displays/Warnings,There are two triangles for each gear on the ECAM WHEEL page. What do they represent?,Each triangle represents one of the braking systems available for that gear.,Each triangle represents the position detected by one of the two LGCIUs.,Each triangle represents one wheel on the gear .,The front triangle indicates the position of that gear and the back triangle indicates the status of the brakes of that gear.,C,,,,"ecam,avionics",0,0,0,,,
130,Type Rating,A330,Hydraulics,Hydraulic Systems,What is the normal operating pressure in the hydraulic system?,2.000 psi.,1.000 psi.,500 psi.,3.000 psi.,B,,,,hydraulics,0,0,0,,,
131,Type Rating,A330,Hydraulics,Hydraulic Systems,The aircraft is on the ground and the PROBE/WINDOW HEAT is ON. All the probes are heated except for:,Total Air Temperature (TAT) probes.,Static ports.,Angle of attack (AOA) probes.,"A is correct, in addition pitot heating operates at low level.",D,,,,hydraulics,0,0,0,,,
132,Type Rating,A330,Electrical,Power Supply,"With reference to the PROBE/WINDOW HEAT pb, what is the correct statement?",The system should only be selected ON in icing conditions.,"When in AUTO mode, the windows are heated only when necessary.",The blue light indicates that probes are heated (except TAT and windows on ground).,"Window heating comes ON automatically after the first engine start, whichever the pb position. 9",A,,,,electrical,0,0,0,,,
133,Type Rating,A330,Hydraulics,Hydraulic Systems,Two identical FWCs generate :,"Alert messages, radio height callouts, decision height callouts, landing speed increments.",The system display pages and Engine/Warning display pages.,Only red warnings.,Only amber cautions and red warnings.,D,,,,hydraulics,0,0,0,,,
134,Type Rating,A330,Avionics,Displays/Warnings,The purpose of any of the three DMCs (Display Management Computer) is:,"Acquire data, then generate signals.",Obtain data from the different sensors and computers and  send it to the display units (DU’s).,Generate decision height callouts.,All are correct.,A,,,,"ecam,avionics",0,0,0,,,
135,Type Rating,A330,Avionics,Displays/Warnings,The communications loudspeakers announce aural alerts and voice messages.,It requires the loudspeakers to be ON.,It requires the loudspeakers to be ON and the batteries p/b to be connected.,It does NOT require the loudspeaker to be ON.,None is correct.,B,,,,"ecam,avionics",0,0,0,,,
136,Type Rating,A330,Avionics,Displays/Warnings,The upper ECAM DU has failed and you want to check the DOOR/OXY page. How can you display it?,You have to press and hold the DOOR/OXY pb on the ECP.,You have to move the ECAM DMC selector to position 1.,You have to press and hold the RCL pb on the ECP.,It is not possible to see the DOOR/OXY page with this failure.,C,,,,"ecam,avionics",0,0,0,,,
137,Type Rating,A330,Avionics,Displays/Warnings,Both ECAM screens have failed. Is it possible to get the E/WD indications?,"Yes, the E/WD is automatically transferred to one of the ND ’s. 10  B: No, the E/WD is lost until the FWS can be repaired.",,"Yes, to get the E/WD information it must be manually transferred, using the ECAM/ND XFR on the ECAM SWITCHING panel.","Yes, the E/WD information is automatically transferred to the F/O ’s PFD in the event of an ECAM warning.",A,,,,"ecam,avionics",0,0,0,,,
138,Type Rating,A330,Avionics,Displays/Warnings,The message “CHECK EWD” indicates that:,An EGT OVERLIMIT has been detected.,A N1 overlimit has been detected .,The DMC (Display Management Computer) detects a discrepancy between the parameters obtained by the DMC and the operational parameters displayed on the DU (Display unit).,None of the above.,A,,,,"ecam,avionics",0,0,0,,,
139,Type Rating,A330,Flight Controls,FCS,According to the failure “ NAV ADR DISAGREE ” select the correct answer:,It is an independent failure.,It is a primary failure.,It is a secondary failure.,It is only a advisory.,C,,,,fcs,0,0,0,,,
140,Type Rating,A330,Avionics,Displays/Warnings,"If the ECAM control panel fails, how can the pilot view a particular system page?",Hold the “ALL” button down until the page of interest comes up and then release the button.,Hold the “STS” button down until the page of interest comes up and then release the button.,Hold the “RCL” button down until the page of interes t comes up and then release the button.,The pilot cannot view the system.,B,,,,"ecam,avionics",0,0,0,,,
141,Type Rating,A330,Hydraulics,Hydraulic Systems,What is the speed limit for operating the windscreen wipers?,230 kts.,185 kts. 11  C: 200 kts.,,215 kts.,B,,,,hydraulics,0,0,0,,,
142,Type Rating,A330,Limitations/Performance,Limitations,Maximum demonstrated crosswind for takeoff and landing is 40 kt (gust included).,No limitation in icing conditions.,False.,True.,No limitation.,A,,,,"limitations,performance",0,0,0,,,
143,Type Rating,A330,Flight Controls,FCS,The maximum altitude with flaps and/or slats extended is:,10.000 ft.,No limitation.,25.000 ft.,20.000 ft.,B,,,,fcs,0,0,0,,,
144,Type Rating,A330,Landing Gear,Gear & NWS,The maximum altitude at which the landing gear may be extended is:,No limitation.,31.000 ft.,21.000 ft.,10.000 ft.,D,,,,"landinggear,nws",0,0,0,,,
145,Type Rating,A330,Landing Gear,Gear & NWS,What is the maximum speed for landing gear hydraulic pressure supply?,280kt .,250kt.,260kt.,285kt.,A,,,,"landinggear,nws",0,0,0,,,
146,Type Rating,A330,Limitations/Performance,Limitations,The maximum speed for speedbrakes use is:,250 kt in clean configuration. 12  B: MMO/VMO.,,.86/350.,No limitation.,A,,,,"limitations,performance",0,0,0,,,
147,Type Rating,A330,Fuel,Fuel System,The minimum fuel quantity for takeoff is:,No limitation.,2.500 kg.,5.200 kg.,15.200 kg.,B,,,,fuel,0,0,0,,,
148,Type Rating,A330,Electrical,Power Supply,Takeoff at reduced thrust is permitted on contaminated runways…,True.,Above ISA -5ºC.,False.,Only in CONF 1+F.,C,,,,electrical,0,0,0,,,
149,Type Rating,A330,Electrical,Power Supply,"Concerning the recording system, select the correct answer (aircraft on ground):",It is active during the first 5 min after the aircraft electric network is energized.,It is active after the first engine start and stops 5 min after the second engine shuts down.,The crew can manually start the recording system by pressing the GND CTL pushbutton.,All are correct.,C,,,,electrical,0,0,0,,,
150,Type Rating,A330,Air Systems,Pressurization,The A 330 is equipped with ____ static pressure probes and _____ angle of attack sensors:,6 and 3.,4 and 3.,6 and 4.,4 and 4.,D,,,,pressurization,0,0,0,,,
151,Type Rating,A330,,,"IR alignment has counted down, but IRS IN ALIGN flashes in GREEN. 13  Why is it?",Normal IRS alignment is in progress.,IRS alignment is faulty.,Engines are running during the IRS alignment.,Fast alignment is in progress.,A,,,,,0,0,0,,,
152,Type Rating,A330,Electrical,Power Supply,"Concerning the BUSS (BACK UP SPEED SCALE) pushbutton, select the correct answer:","Once it is pushed, it is irreversible.",Each pb independently commands the display of the BUSS on its associated side.,The BKUP SPD/ALT information is displayed only if flight level is below 250.,The BUSS information is based on the IRS.,C,,,,electrical,0,0,0,,,
153,Type Rating,A330,Hydraulics,Hydraulic Systems,The flight crew can use the BUSS (BACK UP SPEED SCALE):,Above FL250.,Below FL250.,At any altitude.,Only in clean configuration.,B,,,,hydraulics,0,0,0,,,
154,Type Rating,A330,Electrical,Power Supply,The data received from the GPS:,Overrides the information supplied by ADIRS.,Is transferred to the ADIRU.,"Once the ADIRU has the data, it performs the GPS -IRS hybrid position calculation which is used by the FMGEC.",B and C are correct .,B,,,,electrical,0,0,0,,,
155,Type Rating,A330,Hydraulics,Hydraulic Systems,The BACKUP CONTROL MODULE (BCM):,The BCM will grant direct RUDDER command with pedals.,The BCM provides yaw damping.,Is an independent unit with its own generator.,All are correct. 14,D,,,,hydraulics,0,0,0,,,
156,Type Rating,A330,Electrical,Power Supply,Flashing RELIEF message is displayed when:,The FLRS (Flap Load Relief System) has retracted the flaps to the next retracted lever position because VFE has been exceeded.,If speed is reduced below VFR -2.5 kt flaps return to their normal (selected) position.,"A is correct and FLRS is available whenever the Flap/Slats lever is position 2, 3 or FULL.",All are correct.,D,,,,electrical,0,0,0,,,
157,Type Rating,A330,Avionics,Displays/Warnings,"In case of a double FWC failure, MASTER CAUTION light, aural warnings and ECAM cautions and warnings are lost.",False.,ECAM cautions and warnings are never lost.,MASTER CAUTION light is still available.,True.,D,,,,"ecam,avionics",0,0,0,,,
158,Type Rating,A330,Electrical,Power Supply,"If HDG/TRK is engaged, the guidance does not consider any F - PLN constrain. Therefore if the pilot disengage NAV, CLB mode reverts to OP CLB.",Only in DIRECT LAW.,True.,False.,Only in ALTERNATE LAW.,D,,,,electrical,0,0,0,,,
159,Type Rating,A330,Air Systems,Pressurization,Pushing DITCHING pb cuts off _______.,"The outflow valves, the emergency RAM AIR inlet, the avionics ventilation inlet and extract valves, and the pack flow control valves.",The outflow valves and the emergency RAM AIR inlet.,The outflow valves and the pack flow control valves.,,B,,,,pressurization,0,0,0,,,
160,Type Rating,A330,Autoflight/FMGS,FMGS,The flight guidance function is _____.,"AP, Flight Plan, Auto Thrust.","AP, Performance, Auto Thrust.","AP, Flight Director , Auto Thrust. 15  D: AP, Flight Management, Auto Thrust.",,A,,,,"fmgs,autoflight",0,0,0,,,
161,Type Rating,A330,Hydraulics,Hydraulic Systems,"If all main generators fail, EMER GEN is inoperative during flight. The static converter supplies _____.",AC ESS.,AC 1 and AC 2.,AC LAND RECOVERY .,Both A and C.,C,,,,hydraulics,0,0,0,,,
162,Type Rating,A330,Fuel,Fuel System,"If there is an imbalance between the left and right wing tanks by more than ______, the quantity display pulses in the inner and outer tanks.",4000 kg .,3000 kg .,2000 kg .,1000 kg .,D,,,,fuel,0,0,0,,,
163,Type Rating,A330,Fuel,Fuel System,"On the ground, the Aft APU pump provides fuel from the trim pipe for the first minute(s)  ______ of APU operation.",One.,Two.,Three.,Four.,B,,,,fuel,0,0,0,,,
164,Type Rating,A330,Hydraulics,Hydraulic Systems,"In normal operation, automatic CG control","Begins during climb to FL245, ends at descent to FL 255 or when FMGC time to destination is less than 35 minutes.","Begins during climb to FL255, ends at descent to FL 245 or when FMGC time to destination is less than 35 minutes.","Begins during climb to FL255, ends at descent to FL 245 or when FMGC time to the destination  is less than 75 minutes.","Begins during climb to FL245, ends at decent to FL 255 or when FMGC time 16       to the destination  is less than 75 minutes.",A,,,,hydraulics,0,0,0,,,
165,Type Rating,A330,Fuel,Fuel System,"If fuel tank pump pb set on OFF position, the fault light:",Is inhibited.,Comes on when the delivery pressure drops.,Both A and B.,None.,B,,,,fuel,0,0,0,,,
166,Type Rating,A330,Fuel,Fuel System,The maximum fuel quantity for A330 -300 is:,About 70500 kg.,About 109000 kg.,About 138200 kg.,About 125500 kg,B,,,,fuel,0,0,0,,,
167,Type Rating,A330,Fuel,Fuel System,When the jettison system is damping fuel in flight:,Output rate is approximately 1000kg per minute excluding fuel burn.,Output rate is approximately 3000kg per minute excluding fuel burn.,Output rate is approximately 500kg per minute excluding fuel burn.,Output rate is approximately 1000kg per hour excluding fuel burn.,B,,,,fuel,0,0,0,,,
168,Type Rating,A330,,,"The flight mode changes to flare mode, when A/C descents passing:",50 ft.,75 ft.,55 ft.,100 ft .,A,,,,,0,0,0,,,
169,Type Rating,A330,Electrical,Power Supply,"In normal operation, the trimmable  horizontal stabilizer:",Is driven by one of the three electrical motors.,Is driven by three electrical motors.,Is driven by the first of the two electrical motors.,Is driven by the two of the three electrical motors. 17,C,,,,electrical,0,0,0,,,
170,Type Rating,A330,Flight Controls,FCS,"In normal operation, the elevator and stabilizer is controlled by:",PRIM1 .,PRIM2 .,SEC1 .,SEC2 .,A,,,,fcs,0,0,0,,,
171,Type Rating,A330,Electrical,Power Supply,In the normal rudder electrical control:,"PRIM1 controls blue hydraulic jack, PRIM2 controls green hydraulic jack, PRIM3 controls the yellow  hydraulic jack .","PRIM1 controls yellow hydraulic jack, PRIM2 controls green hydraulic jack, PRIM3 controls blue hydraulic jack.","PRIM1 controls green hydraulic jack, PRIM2 controls blue hydraulic jack, PRIM3 controls the yellow hydraulic jack.",None  of them.,A,,,,electrical,0,0,0,,,
172,Type Rating,A330,Flight Controls,FCS,What is the purpose of LAND RECOVERY pb?,To release RAT manually.,"To inhibit RAT, extend slats for landing.",It is the necessary system to recover approach and landing.,Let ILS and slats and flaps connect to APU BAT for landing.,A,,,,fcs,0,0,0,,,
173,Type Rating,A330,Avionics,Displays/Warnings,In flight the left seat captain pushes the takeover pb and maintains and the right seat first officer pushes  the sidestick unintentionally. What will happen?,The priority green light of both sides illuminates  the arrow red light illuminates on the right side.,"The priority green light on the left side illuminates, the arrow red light illuminates on the right side.","The priority red arrow light of left side illuminates, the priority green light 18        illuminates on the right side.",,C,,,,"ecam,avionics",0,0,0,,,
174,Type Rating,A330,Flight Controls,FCS,A/C is turning with 45º bank angle. What will happen if the pilot releases the sidestick?,The bank angle maintains 45 º.,The bank angle automatically reduces to 33º.,The bank angle automatically reduces to 25 º.,The bank angle automatically reduces to 0.,B,,,,fcs,0,0,0,,,
175,Type Rating,A330,Hydraulics,Hydraulic Systems,Which two hydraulic systems are there driving slats?,Green and Yellow.,Green and Blue.,Blue and Yellow.,,B,,,,hydraulics,0,0,0,,,
176,Type Rating,A330,Hydraulics,Hydraulic Systems,"In normal operation, the data for ADIRU aligning is from.",ADIRU CDU .,ACMS .,FCU .,MCDU .,B,,,,hydraulics,0,0,0,,,
177,Type Rating,A330,Navigation,Nav/Surveillance,"Normally, GPS1 receiver provide information to:",ADIRU1.,ADIRU1 and ADIRU2.,"ADIRU1 , ADIRU2 and ADIRU3.",ADIRU1 and ADIRU3.,D,,,,nav,0,0,0,,,
178,Type Rating,A330,Navigation,Nav/Surveillance,“TCAS REDUCE RANGE” displayed on ND when:,"TA or RA is detected, and the ND range is above 10 NM.","TA is detected, and the ND range is above 20 NM .","TA or RA is detected, and the ND range is above 40 NM.","RA is detected, and the ND range is above 10 NM.",A,,,,nav,0,0,0,,,
179,Type Rating,A330,Hydraulics,Hydraulic Systems,The aural alert for excessively rate of decent warning is: 19  A: Sink rate - Pull up.,,Terrain.,Glide slope.,Pull up.,C,,,,hydraulics,0,0,0,,,
180,Type Rating,A330,Navigation,Nav/Surveillance,How many weather radars are installed in the aircraft?,One.,Two.,Three.,Four.,A,,,,nav,0,0,0,,,
181,Type Rating,A330,Hydraulics,Hydraulic Systems,G P W S  a u r a l  a l e r t  “ D O N ' T  S I N K ”  s o u n d e d  w h e n  i s d e t e c t e d .,Excessive deviation below glide slope.,Altitude loss after take -off.,Excessive terrain closure rate.,Excessive rate of descent.,B,,,,hydraulics,0,0,0,,,
182,Type Rating,A330,Avionics,Displays/Warnings,Wind shear alert is inhibited:,At takeoff above 100kt and up to 50ft.,At takeoff from 80kt till lift off 5 seconds and during landing below 100ft.,During landing below 50ft.,Both A and C.,B,,,,"ecam,avionics",0,0,0,,,
183,Type Rating,A330,Electrical,Power Supply,During your preliminary checks you set the ADIRS to align. The ON BAT light comes on. Why is this?,It is a reminder that the alignment is carried out using battery power.,Comes on for a few seconds to test the battery circuit.,It is a reminder that it is necessary to turn on the aircraft batteries.,It is an indication that there is a fault with the battery circuit.,D,,,,electrical,0,0,0,,,
184,Type Rating,A330,Air Systems,Pressurization,"Pressurization control is fully automatic, consists of two 20  outflow valves:","Each valve has 2 motors (1 automatic,1 manual).","E a c h  v a l v e  h a s  3  m o t o r s  ( 2  a u t o m a t i c , 1  m a n u a l ) .","Each valve has 3 motors (1 automatic,2 manual).",Each valve has 1 motor (automatic).,A,,,,pressurization,0,0,0,,,
185,Type Rating,A330,Avionics,Displays/Warnings,What appears on ECAM CAB PRESS page when cab alt between 8800ft and 9550ft?,The digital presentation pulses.,The analog and digital presentations appear in amber.,The analog and digital presentations appear in red.,Nothing.,B,,,,"ecam,avionics",0,0,0,,,
186,Type Rating,A330,Air Systems,Pressurization,The MAX. NORM. CABIN ALT. is:,8000,9550,14000,8800,A,,,,pressurization,0,0,0,,,
187,Type Rating,A330,Air Systems,Air Conditioning,Temperature regulation is controlled by:,One zone controller .,One zone controller and two pack controllers.,Two pack controllers.,Two zone controllers and two pack controllers.,A,,,,aircond,0,0,0,,,
188,Type Rating,A330,Avionics,Displays/Warnings,On which page of ECAM can you monitor the position of outflow valve?,AIR COND.,BLEED.,CAB PRESS.,B or C. 21,B,,,,"ecam,avionics",0,0,0,,,
189,Type Rating,A330,Electrical,Power Supply,"If LDG ELEV is set to AUTO, the LDG ELEV data sends to controller from:",FCU.,ADIRS.,FMGS.,,C,,,,electrical,0,0,0,,,
190,Type Rating,A330,Air Systems,Pressurization,The TRIM AIR valves:,Optimize the zone temperature by adding cold air.,Optimize the zone temperature by adding hot air.,Optimize the zone temperature by adjusting hot air pressure.,None  of them.,C,,,,pressurization,0,0,0,,,
191,Type Rating,A330,Flight Controls,FCS,The maximum altitude with flaps and/or slats extended is:,10000 ft.,15000 ft.,18000 ft.,20000 ft.,B,,,,fcs,0,0,0,,,
192,Type Rating,A330,Air Systems,Pressurization,The minimum engine oil pressure of the RR engine is:,40 psi.,20 psi.,25 psi.,30 psi.,D,,,,pressurization,0,0,0,,,
193,Type Rating,A330,Fuel,Fuel System,How many pumps are there in each wing tank?,Three pumps in each wing tank.,"There are no fuel pumps, since fuel tank is air pressurized.",One pump in each wing tank.,Two pumps are shared by all fuel tanks. 22,C,,,,fuel,0,0,0,,,
194,Type Rating,A330,Landing Gear,Gear & NWS,Maximum speed for landing gravity extension and maximum tyre speed  respectively are:,200kt and 204kt .,204kt and 205kt.,200kt and 209kt.,None of them.,A,,,,"landinggear,nws",0,0,0,,,
195,Type Rating,A330,Air Systems,Pressurization,The maximum cabin positive differential pressure is:,8.86 psi.,9.25 psi.,8.60 psi.,9.00 psi .,A,,,,pressurization,0,0,0,,,
196,Type Rating,A330,Electrical,Power Supply,How is standby engine data displayed?,On the pilot side ND.,On the F/O side ND.,On either ND after placing EFIS control knob to the ENG position.,On either ND after placing EFIS control knob to the STD BY position.,B,,,,electrical,0,0,0,,,
197,Type Rating,A330,Hydraulics,Hydraulic Systems,The RR TRENT -700 engine is a :,Single -rotor high bypass ratio turbofan engine.,Dual -rotor high bypass ratio turbofan engine.,Triple -rotor high bypass ratio turbofan engine.,Triple -rotor high bypass ratio turbojet engine. 23,C,,,,hydraulics,0,0,0,,,
198,Type Rating,A330,Fuel,Fuel System,"During automatic start on the ground, start valve closes when:",N3 is above 50% with N3 between 25% and 30% ignition occurs and HP fuel valve open .,N3 is above 50% with N3 above 30% ignition occurs and 40% HP fuel valve open.,N3 is above 50% with N3 above 40% ignition occurs and HP fuel valve Open.,Mode selector is set to NORM with N3 above 25% ignition occurs and 40% HP fuel valve open.,C,,,,fuel,0,0,0,,,
199,Type Rating,A330,Air Systems,Bleed/Pneumatics,The reverser is actuated by:,"Hydraulic actuators: green for engine 1, yellow for engine 2.",Hydraulic actuators: blue for both engines.,"Hydraulic actuators: blue for engine 1, yellow for engine 2.",Pneumatic actuators.,A,,,,"bleed,pneumatic",0,0,0,,,
200,Type Rating,A330,Avionics,Displays/Warnings,Which of the statement about FADEC system is correct?,"FADEC has two -channel redundancy, with one channel active and one in standby.",FADEC has two -channel redundancy and the two -channel working synchronously.,FADEC has one -channel.,None  of them.,A,,,,"ecam,avionics",0,0,0,,,
